X,Y,Z
41.419500000000006,80.6885,2.3035
41.441500000000005,80.68350000000001,2.3035
41.444500000000005,80.6905,2.3005
41.4485,80.6915,2.3005
41.4635,80.6945,2.3025
41.4585,80.69850000000001,2.3005
41.4705,80.7035,2.2995
41.42250000000001,80.73450000000001,2.2855000000000003
41.4275,80.7055,2.2985
41.42250000000001,80.7325,2.2915
41.4365,80.73150000000001,2.3025
41.4485,80.73150000000001,2.2905
41.4305,80.7395,2.2835
41.426500000000004,80.7385,2.2845
41.4335,80.7415,2.2835
41.4375,80.74350000000001,2.2835
41.42850000000001,80.75150000000001,2.2835
41.432500000000005,80.75250000000001,2.2835
41.435500000000005,80.75550000000001,2.2855000000000003
41.4365,80.7535,2.2845
41.4375,80.75750000000001,2.2855000000000003
41.435500000000005,80.76450000000001,2.2845
41.4395,80.76450000000001,2.2845
41.441500000000005,80.7415,2.2865
41.4455,80.7475,2.2835
41.4495,80.7475,2.2835
41.453500000000005,80.7485,2.2835
41.4665,80.74050000000001,2.2875
41.4615,80.7505,2.2835
41.456500000000005,80.7485,2.2855000000000003
41.4645,80.7505,2.2855000000000003
41.4405,80.75550000000001,2.2835
41.444500000000005,80.7565,2.2835
41.4405,80.75250000000001,2.2855000000000003
41.4485,80.75750000000001,2.2835
41.4525,80.75850000000001,2.2835
41.4435,80.7655,2.2845
41.4465,80.76750000000001,2.2845
41.4465,80.76750000000001,2.2865
41.450500000000005,80.76750000000001,2.2845
41.4525,80.76650000000001,2.2865
41.456500000000005,80.75850000000001,2.2845
41.468500000000006,80.75250000000001,2.2835
41.468500000000006,80.75750000000001,2.2855000000000003
41.459500000000006,80.76050000000001,2.2845
41.4575,80.76350000000001,2.2855000000000003
41.4635,80.76050000000001,2.2845
41.471500000000006,80.7625,2.2835
41.4675,80.76150000000001,2.2845
41.471500000000006,80.7625,2.2845
41.441500000000005,80.7685,2.2855000000000003
41.4425,80.77050000000001,2.2865
41.441500000000005,80.77550000000001,2.2855000000000003
41.4455,80.77550000000001,2.2855000000000003
41.4545,80.7685,2.2845
41.453500000000005,80.77050000000001,2.2845
41.4495,80.7775,2.2855000000000003
41.453500000000005,80.7775,2.2855000000000003
41.4545,80.7835,2.2875
41.4585,80.76950000000001,2.2845
41.462500000000006,80.77050000000001,2.2845
41.4665,80.7715,2.2845
41.469500000000004,80.76950000000001,2.2855000000000003
41.465500000000006,80.7745,2.2845
41.4705,80.77250000000001,2.2845
