X,Y,Z
-8.970500000000001,32.7545,15.3275
-8.961500000000001,32.7565,15.323500000000001
-9.008500000000002,32.7335,15.3565
-8.999500000000001,32.734500000000004,15.3495
-8.993500000000001,32.7275,15.358500000000001
-8.9855,32.731500000000004,15.3565
-8.9785,32.7355,15.355500000000001
-8.979500000000002,32.7505,15.3305
-8.9815,32.740500000000004,15.341500000000002
-8.973500000000001,32.743500000000004,15.339500000000001
-8.964500000000001,32.7475,15.336500000000001
-8.9905,32.737500000000004,15.345500000000001
-8.9525,32.758500000000005,15.318500000000002
-8.944500000000001,32.7625,15.316500000000001
-8.9365,32.767500000000005,15.3145
-8.9565,32.7505,15.334500000000002
-8.9495,32.7545,15.331500000000002
-8.2065,32.6315,15.007500000000002
-8.1975,32.618500000000004,15.0105
-8.1935,32.6195,15.0135
-8.194500000000001,32.6295,15.014500000000002
-8.195500000000001,32.6355,15.0105
-8.195500000000001,32.6295,15.027500000000002
-8.1925,32.627500000000005,15.0355
-8.1925,32.6285,15.039500000000002
-8.194500000000001,32.6285,15.046500000000002
-8.1965,32.636500000000005,15.040500000000002
-8.1925,32.6285,15.052500000000002
-8.195500000000001,32.6355,15.049500000000002
-8.1935,32.627500000000005,15.056500000000002
-8.1965,32.636500000000005,15.060500000000001
-8.1925,32.627500000000005,15.0645
-8.1935,32.627500000000005,15.066500000000001
-8.195500000000001,32.6355,15.069500000000001
-8.1925,32.6265,15.085500000000001
-8.1965,32.6355,15.0805
-8.195500000000001,32.6355,15.089500000000001
-8.195500000000001,32.6345,15.0995
-8.2055,32.642500000000005,15.007500000000002
-8.2025,32.6535,15.0065
-8.198500000000001,32.663500000000006,15.005500000000001
-8.2085,32.697500000000005,15.001500000000002
-8.2025,32.651500000000006,15.0135
-8.1995,32.6415,15.018500000000001
-8.2005,32.6525,15.0195
-8.2035,32.6685,15.014500000000002
-8.2035,32.663500000000006,15.021500000000001
-8.198500000000001,32.6415,15.030500000000002
-8.1995,32.6505,15.0295
-8.2025,32.6525,15.0325
-8.1995,32.6525,15.037500000000001
-8.2025,32.667500000000004,15.031500000000001
-8.2025,32.663500000000006,15.033500000000002
-8.201500000000001,32.6685,15.033500000000002
-8.2085,32.6835,15.015500000000001
-8.201500000000001,32.6745,15.008500000000002
-8.2055,32.6865,15.011500000000002
-8.204500000000001,32.6745,15.0225
-8.211500000000001,32.697500000000005,15.014500000000002
-8.211500000000001,32.6995,15.017500000000002
-8.2085,32.6865,15.025500000000001
-8.2085,32.6745,15.037500000000001
-8.2085,32.6835,15.033500000000002
-8.2065,32.6775,15.0385
-8.207500000000001,32.685500000000005,15.037500000000001
-8.2095,32.6965,15.0265
-8.211500000000001,32.694500000000005,15.0355
-8.2095,32.6965,15.039500000000002
-8.214500000000001,32.7025,15.039500000000002
-8.2065,32.6995,15.033500000000002
-8.2255,32.7175,15.0035
-8.2315,32.7325,15.0065
-8.2185,32.709500000000006,15.005500000000001
-8.2345,32.7505,15.007500000000002
-8.233500000000001,32.7565,15.0035
-8.2375,32.767500000000005,15.004500000000002
-8.214500000000001,32.7085,15.0165
-8.2185,32.7165,15.020500000000002
-8.2215,32.721500000000006,15.008500000000002
-8.2225,32.7325,15.009500000000001
-8.217500000000001,32.7205,15.018500000000001
-8.2215,32.731500000000004,15.021500000000001
-8.2215,32.7325,15.021500000000001
-8.2135,32.7085,15.0295
-8.2165,32.719500000000004,15.031500000000001
-8.217500000000001,32.718500000000006,15.036500000000002
-8.201500000000001,32.7165,15.0325
-8.2185,32.7265,15.039500000000002
-8.220500000000001,32.7325,15.034500000000001
-8.207500000000001,32.731500000000004,15.034500000000001
-8.2255,32.743500000000004,15.011500000000002
-8.226500000000001,32.749500000000005,15.023500000000002
