X,Y,Z
-9.6155,-10.7995,-1.5855000000000001
-9.608500000000001,-10.797500000000001,-1.5855000000000001
-9.6035,-10.7955,-1.5905
-9.6035,-10.7955,-1.5845
-9.627500000000001,-10.803500000000001,-1.5805000000000002
-9.6225,-10.8015,-1.5805000000000002
-9.6285,-10.803500000000001,-1.5745000000000002
-9.627500000000001,-10.803500000000001,-1.5685000000000002
-9.6225,-10.8015,-1.5745000000000002
-9.621500000000001,-10.8015,-1.5685000000000002
-9.6155,-10.7985,-1.5795000000000001
-9.6105,-10.796500000000002,-1.5795000000000001
-9.6035,-10.7955,-1.5785000000000002
-9.6155,-10.7985,-1.5735000000000001
-9.608500000000001,-10.797500000000001,-1.5735000000000001
-9.6035,-10.794500000000001,-1.5725000000000002
-9.6605,-10.8145,-1.5655000000000001
-9.653500000000001,-10.8125,-1.5645000000000002
-9.659500000000001,-10.8155,-1.5535
-9.653500000000001,-10.8125,-1.5595
-9.653500000000001,-10.8125,-1.5535
-9.646500000000001,-10.810500000000001,-1.5645000000000002
-9.6415,-10.8085,-1.5635000000000001
-9.634500000000001,-10.806500000000002,-1.5635000000000001
-9.646500000000001,-10.810500000000001,-1.5585000000000002
-9.6415,-10.8085,-1.5585000000000002
-9.6475,-10.810500000000001,-1.5525000000000002
-9.6415,-10.8085,-1.5525000000000002
-9.634500000000001,-10.806500000000002,-1.5575
-9.659500000000001,-10.8155,-1.5475
-9.652500000000002,-10.8125,-1.5475
-9.6605,-10.8145,-1.5415
-9.653500000000001,-10.8125,-1.5415
-9.6475,-10.809500000000002,-1.5465000000000002
-9.640500000000001,-10.807500000000001,-1.5465000000000002
-9.634500000000001,-10.8055,-1.5515
-9.634500000000001,-10.8055,-1.5455
-9.6475,-10.809500000000002,-1.5405000000000002
-9.6425,-10.807500000000001,-1.5405000000000002
-9.634500000000001,-10.8055,-1.5395
-9.6285,-10.803500000000001,-1.5625000000000002
-9.6225,-10.8015,-1.5625000000000002
-9.6285,-10.803500000000001,-1.5575
-9.6225,-10.8015,-1.5565000000000002
-9.6155,-10.7985,-1.5675000000000001
-9.608500000000001,-10.797500000000001,-1.5675000000000001
-9.6155,-10.7995,-1.5615
-9.6095,-10.796500000000002,-1.5615
-9.6035,-10.794500000000001,-1.5665000000000002
-9.6035,-10.794500000000001,-1.5605000000000002
-9.6155,-10.7985,-1.5565000000000002
-9.6095,-10.796500000000002,-1.5555
-9.602500000000001,-10.793500000000002,-1.5545000000000002
-9.6285,-10.803500000000001,-1.5505000000000002
-9.6285,-10.803500000000001,-1.5455
-9.6225,-10.8015,-1.5505000000000002
-9.6225,-10.8015,-1.5445000000000002
-9.6285,-10.803500000000001,-1.5395
-9.6225,-10.8015,-1.5385000000000002
-9.6155,-10.7985,-1.5505000000000002
-9.6095,-10.796500000000002,-1.5495
-9.6155,-10.7985,-1.5445000000000002
-9.6035,-10.794500000000001,-1.5495
-9.6095,-10.7955,-1.5435
-9.6155,-10.7985,-1.5385000000000002
-9.6095,-10.7955,-1.5375
-9.604500000000002,-10.793500000000002,-1.5435
-9.602500000000001,-10.793500000000002,-1.5375
-9.5965,-10.7925,-1.6315000000000002
-9.5965,-10.7925,-1.6255000000000002
-9.589500000000001,-10.791500000000001,-1.6305
-9.5845,-10.7885,-1.6305
-9.589500000000001,-10.791500000000001,-1.6245
-9.5845,-10.7885,-1.6245
-9.5975,-10.7925,-1.6195000000000002
-9.589500000000001,-10.790500000000002,-1.6185
-9.576500000000001,-10.7865,-1.6295000000000002
-9.5775,-10.7855,-1.6235000000000002
-9.582500000000001,-10.7885,-1.6185
-9.5775,-10.7855,-1.6175000000000002
-9.5965,-10.7925,-1.6135000000000002
-9.589500000000001,-10.791500000000001,-1.6125
-9.5845,-10.787500000000001,-1.6125
-9.5965,-10.7925,-1.6075000000000002
-9.5965,-10.7925,-1.6015000000000001
-9.589500000000001,-10.790500000000002,-1.6075000000000002
-9.5845,-10.787500000000001,-1.6065
-9.589500000000001,-10.790500000000002,-1.6015000000000001
-9.5845,-10.787500000000001,-1.6005
-9.5775,-10.784500000000001,-1.6125
-9.570500000000001,-10.784500000000001,-1.6115000000000002
-9.5775,-10.7855,-1.6065
-9.5775,-10.7855,-1.6005
-9.5715,-10.7835,-1.6295000000000002
-9.5715,-10.7835,-1.6235000000000002
-9.570500000000001,-10.7835,-1.6175000000000002
-9.570500000000001,-10.7835,-1.6055000000000001
-9.5645,-10.7825,-1.6285
-9.5585,-10.778500000000001,-1.6285
-9.5525,-10.7765,-1.6275000000000002
-9.5655,-10.781500000000001,-1.6225
-9.5655,-10.781500000000001,-1.6165
-9.5585,-10.778500000000001,-1.6225
-9.5525,-10.7765,-1.6215000000000002
-9.5585,-10.778500000000001,-1.6165
-9.5465,-10.7735,-1.6275000000000002
-9.540500000000002,-10.7725,-1.6265
-9.5465,-10.774500000000002,-1.6215000000000002
-9.5395,-10.771500000000001,-1.6205
-9.5655,-10.781500000000001,-1.6105
-9.5525,-10.7765,-1.6155000000000002
-9.5585,-10.778500000000001,-1.6105
-9.553500000000001,-10.775500000000001,-1.6105
-9.5655,-10.780500000000002,-1.6055000000000001
-9.5585,-10.778500000000001,-1.6045
-9.553500000000001,-10.775500000000001,-1.6045
-9.547500000000001,-10.7735,-1.6155000000000002
-9.5465,-10.774500000000002,-1.6095000000000002
-9.5395,-10.771500000000001,-1.6145
-9.540500000000002,-10.7725,-1.6085
-9.5465,-10.7735,-1.6035000000000001
-9.5395,-10.771500000000001,-1.6025
-9.534500000000001,-10.768500000000001,-1.6265
-9.534500000000001,-10.768500000000001,-1.6205
-9.521500000000001,-10.765500000000001,-1.6305
-9.527500000000002,-10.7675,-1.6255000000000002
-9.521500000000001,-10.765500000000001,-1.6245
-9.528500000000001,-10.7665,-1.6195000000000002
-9.521500000000001,-10.764500000000002,-1.6195000000000002
-9.5165,-10.762500000000001,-1.6305
-9.5165,-10.762500000000001,-1.6245
-9.509500000000001,-10.7605,-1.6295000000000002
-9.508500000000002,-10.7605,-1.6245
-9.5145,-10.762500000000001,-1.6185
-9.509500000000001,-10.7605,-1.6185
-9.5335,-10.7695,-1.6145
-9.534500000000001,-10.768500000000001,-1.6085
-9.534500000000001,-10.768500000000001,-1.6025
-9.5265,-10.768500000000001,-1.6075000000000002
