X,Y,Z
-6.585500000000001,-0.1015,2.8875
-6.586500000000001,-0.0995,2.8875
-6.585500000000001,-0.0995,2.8875
-6.586500000000001,-0.0975,2.8875
-6.5845,-0.0975,2.8875
-6.583500000000001,-0.1015,2.8875
-6.580500000000001,-0.1015,2.8875
-6.5795,-0.10250000000000001,2.8875
-6.577500000000001,-0.10250000000000001,2.8875
-6.5765,-0.1005,2.8875
-6.583500000000001,-0.0995,2.8875
-6.5815,-0.0995,2.8875
-6.583500000000001,-0.0975,2.8875
-6.580500000000001,-0.0975,2.8865000000000003
-6.578500000000001,-0.0995,2.8865000000000003
-6.577500000000001,-0.0995,2.8875
-6.578500000000001,-0.0975,2.8875
-6.577500000000001,-0.0975,2.8865000000000003
-6.588500000000001,-0.1005,2.8885
-6.585500000000001,-0.1005,2.8885
-6.588500000000001,-0.0995,2.8895000000000004
-6.588500000000001,-0.0975,2.8895000000000004
-6.585500000000001,-0.0975,2.8885
-6.5895,-0.0985,2.8925
-6.588500000000001,-0.0965,2.8925
-6.562500000000001,-0.10450000000000001,2.8875
-6.5605,-0.10550000000000001,2.8875
-6.575500000000001,-0.10250000000000001,2.8875
-6.5735,-0.10250000000000001,2.8875
-6.5745000000000005,-0.1005,2.8875
-6.572500000000001,-0.1015,2.8875
-6.5715,-0.10350000000000001,2.8875
-6.569500000000001,-0.10350000000000001,2.8865000000000003
-6.570500000000001,-0.1015,2.8875
-6.5685,-0.1015,2.8875
-6.5745000000000005,-0.0995,2.8865000000000003
-6.572500000000001,-0.0985,2.8875
-6.572500000000001,-0.0975,2.8865000000000003
-6.570500000000001,-0.0985,2.8875
-6.5685,-0.0995,2.8875
-6.5715,-0.0965,2.8875
-6.5685,-0.0965,2.8875
-6.567500000000001,-0.10350000000000001,2.8875
-6.564500000000001,-0.10350000000000001,2.8865000000000003
-6.567500000000001,-0.1015,2.8875
-6.5655,-0.1015,2.8865000000000003
-6.562500000000001,-0.10250000000000001,2.8875
-6.5615000000000006,-0.10350000000000001,2.8875
-6.5635,-0.1015,2.8875
-6.5605,-0.1005,2.8875
-6.5665000000000004,-0.0995,2.8875
-6.5665000000000004,-0.0965,2.8875
-6.564500000000001,-0.0975,2.8875
-6.5635,-0.0995,2.8875
-6.5615000000000006,-0.0995,2.8875
-6.562500000000001,-0.0965,2.8865000000000003
-6.5605,-0.0965,2.8865000000000003
-6.5605,-0.0965,2.8885
-6.5585,-0.10550000000000001,2.8875
-6.5575,-0.10450000000000001,2.8875
-6.554500000000001,-0.10550000000000001,2.8875
-6.5535000000000005,-0.10550000000000001,2.8875
-6.5505,-0.10650000000000001,2.8875
-6.5505,-0.10550000000000001,2.8875
-6.5495,-0.10550000000000001,2.8875
-6.546500000000001,-0.10750000000000001,2.8875
-6.5455000000000005,-0.10750000000000001,2.8875
-6.5475,-0.10550000000000001,2.8875
-6.5445,-0.10450000000000001,2.8875
-6.559500000000001,-0.10250000000000001,2.8875
-6.5575,-0.10250000000000001,2.8875
-6.5575,-0.1015,2.8875
-6.5555,-0.10350000000000001,2.8875
-6.5525,-0.10350000000000001,2.8875
-6.5555,-0.1005,2.8875
-6.5525,-0.1015,2.8875
-6.5575,-0.0995,2.8875
-6.5585,-0.0975,2.8875
-6.5555,-0.0985,2.8875
-6.5525,-0.0985,2.8875
-6.5535000000000005,-0.0965,2.8875
-6.551500000000001,-0.10350000000000001,2.8875
-6.5495,-0.10350000000000001,2.8875
-6.5495,-0.1005,2.8865000000000003
-6.546500000000001,-0.10250000000000001,2.8875
-6.5475,-0.1015,2.8875
-6.5445,-0.1015,2.8875
-6.551500000000001,-0.0995,2.8875
-6.5495,-0.0995,2.8875
-6.5505,-0.0975,2.8875
-6.5475,-0.0995,2.8875
-6.5445,-0.0995,2.8875
-6.5445,-0.0975,2.8875
-6.5475,-0.10450000000000001,2.8885
-6.559500000000001,-0.1005,2.8885
-6.5585,-0.0965,2.8885
-6.556500000000001,-0.0965,2.8885
-6.551500000000001,-0.1015,2.8885
-6.5455000000000005,-0.10250000000000001,2.8885
